SchoolName;LastInspection;Permittee;InspectionDate;Level;Code;ViolationDescription;LATITUDE;LONGITUDE;COMMUNITYBOARD;COUNCILDISTRICT
ST. JOSEPH BY THE SEA HIGH SCHOOL;11/21/2022;SJBS, INC.;11/21/2022;C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,05267E+13;-7,41782E+13;503;51
ST. JOSEPH BY THE SEA HIGH SCHOOL;11/21/2022;SJBS, INC.;06/07/2022;C;06D;Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.;4,05267E+13;-7,41782E+13;503;51
ST. JOSEPH BY THE SEA HIGH SCHOOL;11/21/2022;SJBS, INC.;06/07/2022;C;06C;Food not protected from potential source of contamination during storage, preparation, transportation, display or service.;4,05267E+13;-7,41782E+13;503;51
ST. JOSEPH BY THE SEA HIGH SCHOOL;11/21/2022;SJBS, INC.;06/07/2022;C;05D;Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.;4,05267E+13;-7,41782E+13;503;51
ST. JOSEPH BY THE SEA HIGH SCHOOL;11/21/2022;SJBS, INC.;06/07/2022;C;02B;Hot food item not held at or above 140º F.;4,05267E+13;-7,41782E+13;503;51
ST. JOSEPH BY THE SEA HIGH SCHOOL;11/21/2022;SJBS, INC.;11/21/2022;C;04M;Live roaches in facility's food or non-food area.;4,05267E+13;-7,41782E+13;503;51
ST. JOSEPH BY THE SEA HIGH SCHOOL;11/21/2022;SJBS, INC.;05/18/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05267E+13;-7,41782E+13;503;51
ST. JOSEPH BY THE SEA HIGH SCHOOL;11/21/2022;SJBS, INC.;06/07/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05267E+13;-7,41782E+13;503;51
ST. JOSEPH BY THE SEA HIGH SCHOOL;11/21/2022;SJBS, INC.;11/21/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05267E+13;-7,41782E+13;503;51
TOTTENVILLE HIGH SCHOOL;02/13/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;02/13/2023;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05281E+13;-7,4192E+13;503;51
TOTTENVILLE HIGH SCHOOL;02/13/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;02/13/2023;C;04M;Live roaches in facility's food or non-food area.;4,05281E+13;-7,4192E+13;503;51
TOTTENVILLE HIGH SCHOOL;02/13/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/09/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05281E+13;-7,4192E+13;503;51
TOTTENVILLE HIGH SCHOOL;02/13/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/09/2022;G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,05281E+13;-7,4192E+13;503;51
TOTTENVILLE HIGH SCHOOL;02/13/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;02/13/2023;G;09A;Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE;4,05281E+13;-7,4192E+13;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;02/09/2023;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;06/07/2022;G;09A;Canned food product observed dented and not segregated from other consumable food items.;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;02/09/2023;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;02/09/2023;C;04N;Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;06/07/2022;G;09C;Food contact surface not properly maintained.;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;02/09/2023;C;06D;Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;02/09/2023;C;04M;Live roaches in facility's food or non-food area.;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;06/07/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;02/09/2023;G;08C;Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;06/07/2022;C;06E;Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;02/09/2023;G;09A;Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE;4,05283E+13;-7,4215E+12;503;51
YESHIVA OF STATEN ISLAND;02/09/2023;Mesivtha Tiferth Jerusalem;02/09/2023;G;09B;Thawing procedure improper.;4,05283E+13;-7,4215E+12;503;51
SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25;03/13/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;02/16/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05398E+13;-7,42375E+13;503;51
THE KATHLEEN GRIMM SCHOOL FOR LEADERSHIP AND SUSTAINABILITY;03/09/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/09/2023;CH;02H;After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2  hours, and from 70 °F to 41 °F or less within 4 additional hours.;4,05415E+13;-7,42179E+13;503;51
THE KATHLEEN GRIMM SCHOOL FOR LEADERSHIP AND SUSTAINABILITY;03/09/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/11/2021;G;10C;Lighting Inadequate;4,05415E+13;-7,42179E+13;503;51
P.S. 56 THE LOUIS DESARIO SCHOOL;03/22/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/09/2021;C;04J;Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.;4,05422E+13;-7,4214E+13;503;51
P.S. 56 THE LOUIS DESARIO SCHOOL;03/22/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/09/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05422E+13;-7,4214E+13;503;51
I.S. 024 MYRA S. BARNES, THE RICHARD H. HUNGERFORD SCHOOL;10/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/04/2022;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,05453E+13;-7,41463E+13;503;51
I.S. 024 MYRA S. BARNES, THE RICHARD H. HUNGERFORD SCHOOL;10/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/04/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05453E+13;-7,41463E+13;503;51
ST. CLAIRE SCHOOL;02/16/2023;MONPOG INC;02/16/2023;AV;18-01;Current valid permit, registration or other authorization to operate a Food Service Establishment (FSE) or Non-retail Food Processing Establishment (NRFP) not available.;4,05466E+13;-7,4151E+12;503;51
ST. CLAIRE SCHOOL;02/16/2023;MONPOG INC;02/16/2023;C;04J;Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.;4,05466E+13;-7,4151E+12;503;51
P.S. 8 SHIRLEE SOLOMON;01/17/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;04/27/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,0548E+13;-7,4152E+13;503;51
P.S. 053 BAY TERRACE;01/17/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/04/2022;C;02G;Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.;4,05526E+13;-7,41371E+13;503;51
P.S. 053 BAY TERRACE;01/17/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/04/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05526E+13;-7,41371E+13;503;51
P.S. 004 MAURICE WOLLIN, P.S. R037;02/13/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/18/2021;C;02G;Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.;4,05539E+13;-7,41931E+13;503;51
THE RICHARD H. HUNGERFORD SCHOOL;01/17/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/17/2023;C;04A;Food Protection Certificate (FPC) not held by manager or supervisor of food operations.;4,05545E+13;-7,4148E+13;503;51
THE RICHARD H. HUNGERFORD SCHOOL;01/17/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/17/2022;G;10H;Proper sanitization not provided for utensil ware washing operation.;4,05545E+13;-7,4148E+13;503;51
P.S. 032 THE GIFFORD SCHOOL, P.S. R037;10/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;05/06/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05579E+13;-7,41554E+13;503;51
P.S. 050 FRANK HANKINSON;02/16/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/11/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05617E+13;-7,41246E+13;503;50
THE RICHMOND PRE-K CENTER AT 20 EBBITTS STREET;02/16/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/11/2021;G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,05653E+13;-7,41118E+13;503;50
STATEN ISLAND TECHNICAL HIGH SCHOOL;03/22/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/18/2022;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,05679E+13;-7,41154E+13;502;50
STATEN ISLAND TECHNICAL HIGH SCHOOL;03/22/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/11/2021;G;09A;Canned food product observed dented and not segregated from other consumable food items.;4,05679E+13;-7,41154E+13;502;50
STATEN ISLAND TECHNICAL HIGH SCHOOL;03/22/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/18/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05679E+13;-7,41154E+13;502;50
MONSIGNOR FARELL HIGH SCHOOL;03/07/2023;CANLON'S RESTAURANT INC;03/07/2023;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05684E+13;-7,41257E+13;503;50
MONSIGNOR FARELL HIGH SCHOOL;03/07/2023;CANLON'S RESTAURANT INC;03/07/2023;C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,05684E+13;-7,41257E+13;503;50
MONSIGNOR FARELL HIGH SCHOOL;03/07/2023;CANLON'S RESTAURANT INC;05/05/2022;C;06C;Food not protected from potential source of contamination during storage, preparation, transportation, display or service.;4,05684E+13;-7,41257E+13;503;50
MONSIGNOR FARELL HIGH SCHOOL;03/07/2023;CANLON'S RESTAURANT INC;05/05/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05684E+13;-7,41257E+13;503;50
NEW DORP HIGH SCHOOL, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25, THE RICHARD H. HUNGERFORD SCHOOL;10/07/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/07/2022;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,05694E+13;-7,41077E+13;502;50
NEW DORP HIGH SCHOOL, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25, THE RICHARD H. HUNGERFORD SCHOOL;10/07/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/07/2022;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05694E+13;-7,41077E+13;502;50
NEW DORP HIGH SCHOOL, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25, THE RICHARD H. HUNGERFORD SCHOOL;10/07/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/07/2022;C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,05694E+13;-7,41077E+13;502;50
NEW DORP HIGH SCHOOL, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25, THE RICHARD H. HUNGERFORD SCHOOL;10/07/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/07/2022;C;06D;Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.;4,05694E+13;-7,41077E+13;502;50
NEW DORP HIGH SCHOOL, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25, THE RICHARD H. HUNGERFORD SCHOOL;10/07/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;08/12/2021;C;04A;Food Protection Certificate not held by supervisor of food operations.;4,05694E+13;-7,41077E+13;502;50
NEW DORP HIGH SCHOOL, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25, THE RICHARD H. HUNGERFORD SCHOOL;10/07/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/07/2022;C;06C;Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.;4,05694E+13;-7,41077E+13;502;50
P.S. 023 RICHMONDTOWN;12/21/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;12/21/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05712E+13;-7,41326E+13;503;50
STATEN ISLAND HEBREW ACADEMY;05/05/2022;STATEN ISLAND JEWISH HERITAGE NETWORK INC;05/05/2022;AV;18A;Current valid permit, registration or other authorization to operate establishment not available.;4,05729E+13;-7,41374E+13;502;50
P.S. 288 THE SHIRLEY TANYHILL;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;07/13/2022;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05744E+13;-7,39919E+12;313;47
P.S. 288 THE SHIRLEY TANYHILL;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;07/13/2022;C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,05744E+13;-7,39919E+12;313;47
P.S. 288 THE SHIRLEY TANYHILL;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;07/13/2022;C;04N;Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.;4,05744E+13;-7,39919E+12;313;47
P.S. 288 THE SHIRLEY TANYHILL;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;11/23/2020;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05744E+13;-7,39919E+12;313;47
P.S. 288 THE SHIRLEY TANYHILL;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;07/13/2022;G;09A;Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE;4,05744E+13;-7,39919E+12;313;47
P.S. 288 THE SHIRLEY TANYHILL;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;07/13/2022;G;10A;Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.;4,05744E+13;-7,39919E+12;313;47
P.S. 329 SURFSIDE, P.S. K771;07/18/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;07/18/2022;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,05746E+13;-7,39963E+13;313;47
P.S. 329 SURFSIDE, P.S. K771;07/18/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;07/18/2022;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05746E+13;-7,39963E+13;313;47
P.S. 329 SURFSIDE, P.S. K771;07/18/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;07/18/2022;C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,05746E+13;-7,39963E+13;313;47
P.S. 329 SURFSIDE, P.S. K771;07/18/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;07/18/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05746E+13;-7,39963E+13;313;47
THE RICHMOND PRE-K CENTER AT 841 FATHER CAPODANNO BOULEVARD;03/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/11/2022;C;04A;Food Protection Certificate (FPC) not held by manager or supervisor of food operations.;4,05755E+13;-7,40835E+12;502;50
THE RICHMOND PRE-K CENTER AT 841 FATHER CAPODANNO BOULEVARD;03/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/07/2023;AV;18-11;Food Protection Certificate not available for inspection;4,05755E+13;-7,40835E+12;502;50
THE RICHMOND PRE-K CENTER AT 841 FATHER CAPODANNO BOULEVARD;03/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/23/2022;C;05D;Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.;4,05755E+13;-7,40835E+12;502;50
THE RICHMOND PRE-K CENTER AT 841 FATHER CAPODANNO BOULEVARD;03/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/07/2023;CP;05H;No approved written standard operating procedure for avoiding contamination by refillable returnable containers.;4,05755E+13;-7,40835E+12;502;50
I.S. R002 GEORGE L. EGBERT, P037R AT R002;02/16/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;05/04/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05767E+13;-7,41007E+13;502;50
I.S. R002 GEORGE L. EGBERT, P037R AT R002;02/16/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/18/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05767E+13;-7,41007E+13;502;50
LIBERATION DIPLOMA PLUS;03/08/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/23/2022;G;10H;Proper sanitization not provided for utensil ware washing operation.;4,05772E+13;-7,3986E+13;313;47
P.S. 188 MICHAEL E. BERDY;03/23/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/12/2022;CH;02B;Hot TCS food item not held at or above 140 °F.;4,05772E+13;-7,40002E+13;313;47
P.S. 188 MICHAEL E. BERDY;03/23/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;11/23/2020;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05772E+13;-7,40002E+13;313;47
P.S. 188 MICHAEL E. BERDY;03/23/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/12/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05772E+13;-7,40002E+13;313;47
P.S. 188 MICHAEL E. BERDY;03/23/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/12/2022;G;10A;Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.;4,05772E+13;-7,40002E+13;313;47
P.S. 100 THE CONEY ISLAND SCHOOL, P.S. 370;03/23/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;09/23/2022;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05773E+13;-7,39713E+13;313;48
P.S. 100 THE CONEY ISLAND SCHOOL, P.S. 370;03/23/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;09/23/2022;C;04N;Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.;4,05773E+13;-7,39713E+13;313;48
P.S. 100 THE CONEY ISLAND SCHOOL, P.S. 370;03/23/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/15/2021;G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,05773E+13;-7,39713E+13;313;48
P.S. 370;08/11/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;03/23/2022;G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,05775E+13;-7,39695E+13;313;48
P.S. 370;08/11/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;03/23/2022;G;10H;Proper sanitization not provided for utensil ware washing operation.;4,05775E+13;-7,39695E+13;313;48
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED;01/31/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/29/2022;C;02G;Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.;4,05782E+13;-7,3992E+13;313;47
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED;01/31/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/29/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05782E+13;-7,3992E+13;313;47
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED;01/31/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;11/25/2020;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05782E+13;-7,3992E+13;313;47
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED;01/31/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/31/2023;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05782E+13;-7,3992E+13;313;47
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED;01/31/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/31/2023;G;09A;Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE;4,05782E+13;-7,3992E+13;313;47
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED;01/31/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/31/2023;G;10A;Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.;4,05782E+13;-7,3992E+13;313;47
P.S. 90 EDNA COHEN SCHOOL;11/01/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;11/01/2022;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05782E+13;-7,39796E+13;313;47
P.S. 90 EDNA COHEN SCHOOL;11/01/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;11/01/2022;C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,05782E+13;-7,39796E+13;313;47
P.S. 90 EDNA COHEN SCHOOL;11/01/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;11/25/2020;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05782E+13;-7,39796E+13;313;47
Learn and Explore Academy;01/09/2023;LEARN AND EXPLORE ACADEMY LLC;01/09/2023;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,05792E+13;-7,39552E+13;313;48
Learn and Explore Academy;01/09/2023;LEARN AND EXPLORE ACADEMY LLC;02/04/2021;C;04J;Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.;4,05792E+13;-7,39552E+13;313;48
Learn and Explore Academy;01/09/2023;LEARN AND EXPLORE ACADEMY LLC;04/05/2022;AV;18A;Current valid permit, registration or other authorization to operate establishment not available.;4,05792E+13;-7,39552E+13;313;48
